shop_id,month,gmv_index,is_distressed
SHOP000000,1,53.3,1
SHOP000000,2,50.4,1
SHOP000000,3,45.2,1
SHOP000000,4,52.2,1
SHOP000000,5,47.4,1
SHOP000000,6,46.0,1
SHOP000000,7,41.2,1
SHOP000000,8,45.3,1
SHOP000000,9,42.5,1
SHOP000000,10,37.4,1
SHOP000000,11,34.1,1
SHOP000000,12,32.8,1
SHOP000001,1,50.0,0
SHOP000001,2,56.8,0
SHOP000001,3,57.2,0
SHOP000001,4,60.5,0
SHOP000001,5,69.4,0
SHOP000001,6,65.8,0
SHOP000001,7,66.5,0
SHOP000001,8,75.5,0
SHOP000001,9,71.4,0
SHOP000001,10,81.7,0
SHOP000001,11,87.0,0
SHOP000001,12,87.5,0
SHOP000002,1,57.9,0
SHOP000002,2,58.6,0
SHOP000002,3,55.0,0
SHOP000002,4,65.4,0
SHOP000002,5,57.1,0
SHOP000002,6,56.9,0
SHOP000002,7,57.7,0
SHOP000002,8,64.3,0
SHOP000002,9,66.4,0
SHOP000002,10,67.9,0
SHOP000002,11,66.7,0
SHOP000002,12,66.4,0
SHOP000003,1,60.4,0
SHOP000003,2,70.6,0
SHOP000003,3,69.2,0
SHOP000003,4,72.4,0
SHOP000003,5,75.1,0
SHOP000003,6,73.8,0
SHOP000003,7,76.3,0
SHOP000003,8,82.1,0
SHOP000003,9,80.6,0
SHOP000003,10,85.8,0
SHOP000003,11,86.8,0
SHOP000003,12,85.8,0
SHOP000004,1,65.3,0
SHOP000004,2,66.8,0
SHOP000004,3,72.3,0
SHOP000004,4,67.0,0
SHOP000004,5,70.7,0
SHOP000004,6,73.9,0
SHOP000004,7,76.6,0
SHOP000004,8,80.6,0
SHOP000004,9,80.9,0
SHOP000004,10,81.9,0
SHOP000004,11,86.8,0
SHOP000004,12,91.9,0
SHOP000005,1,43.8,1
SHOP000005,2,39.2,1
SHOP000005,3,40.6,1
SHOP000005,4,32.7,1
SHOP000005,5,28.1,1
SHOP000005,6,31.1,1
SHOP000005,7,17.6,1
SHOP000005,8,21.9,1
SHOP000005,9,27.8,1
SHOP000005,10,18.2,1
SHOP000005,11,16.6,1
SHOP000005,12,10.0,1
SHOP000006,1,63.4,0
SHOP000006,2,57.9,0
SHOP000006,3,55.7,0
SHOP000006,4,68.3,0
SHOP000006,5,74.8,0
SHOP000006,6,71.1,0
SHOP000006,7,70.7,0
SHOP000006,8,76.1,0
SHOP000006,9,83.6,0
SHOP000006,10,83.7,0
SHOP000006,11,88.6,0
SHOP000006,12,84.4,0
SHOP000007,1,54.0,0
SHOP000007,2,55.7,0
SHOP000007,3,66.0,0
SHOP000007,4,69.8,0
SHOP000007,5,69.4,0
SHOP000007,6,72.5,0
SHOP000007,7,82.6,0
SHOP000007,8,81.1,0
SHOP000007,9,86.2,0
SHOP000007,10,96.1,0
SHOP000007,11,95.3,0
SHOP000007,12,97.2,0
SHOP000008,1,42.2,0
SHOP000008,2,43.8,0
SHOP000008,3,51.7,0
SHOP000008,4,48.3,0
SHOP000008,5,50.6,0
SHOP000008,6,56.2,0
SHOP000008,7,61.7,0
SHOP000008,8,60.5,0
SHOP000008,9,64.7,0
SHOP000008,10,68.9,0
SHOP000008,11,74.5,0
SHOP000008,12,75.7,0
SHOP000009,1,64.1,0
SHOP000009,2,62.0,0
SHOP000009,3,66.1,0
SHOP000009,4,71.5,0
SHOP000009,5,66.3,0
SHOP000009,6,68.0,0
SHOP000009,7,70.9,0
SHOP000009,8,65.3,0
SHOP000009,9,72.2,0
SHOP000009,10,73.5,0
SHOP000009,11,71.6,0
SHOP000009,12,74.9,0
