shop_id,is_bad,open_months,avg_monthly_orders,order_volatility,interruption_count,avg_order_value,repurchase_rate,refund_rate,dispute_rate,positive_review_rate,gmv_yoy_growth,gmv_mom_volatility,sku_change_rate,revenue_trend_slope,customer_hhi,new_customer_ratio,customer_geo_entropy,avg_settlement_days,platform_penalty_count,abnormal_large_txn_ratio
SHOP000000,1,17.0,60.0,0.557,0,81.7,0.095,0.058,0.022,0.901,0.021,0.148,0.09,0.875,0.159,0.417,1.612,6.3,1,0.064
SHOP000001,0,17.0,86.0,0.146,3,93.9,0.283,0.041,0.025,0.984,0.181,0.104,0.088,2.617,0.084,0.423,2.161,2.9,1,0.048
SHOP000002,1,26.0,210.0,0.581,2,79.0,0.289,0.011,0.031,0.861,0.193,0.335,-0.05,1.051,0.345,0.585,2.525,9.8,1,0.04
SHOP000003,1,5.0,175.0,0.642,1,93.3,0.237,0.064,0.039,0.868,-0.293,0.243,-0.166,0.925,0.195,0.605,1.633,2.5,0,0.038
SHOP000004,0,18.0,94.0,0.15,2,69.1,0.413,0.042,0.006,0.972,0.27,0.168,0.152,2.487,0.099,0.132,2.172,3.7,1,0.046
SHOP000005,0,19.0,202.0,0.325,1,60.4,0.317,0.076,0.03,0.899,0.383,0.134,0.038,2.592,0.099,0.337,3.017,4.6,1,0.018
SHOP000006,0,14.0,208.0,0.603,1,71.1,0.281,0.067,0.007,0.918,-0.211,0.117,0.168,3.389,0.188,0.387,1.843,6.2,1,0.067
SHOP000007,0,10.0,100.0,0.466,0,71.4,0.32,0.071,0.03,0.806,-0.184,0.079,-0.076,-0.563,0.222,0.225,2.674,5.6,0,0.039
SHOP000008,0,7.0,37.0,0.443,3,86.9,0.266,0.062,0.037,0.925,0.335,0.188,-0.02,-0.121,0.214,0.33,1.612,3.9,0,0.043
SHOP000009,0,32.0,260.0,0.195,2,77.0,0.174,0.044,0.03,0.971,-0.113,0.191,0.131,1.798,0.107,0.42,2.376,4.2,0,0.011
SHOP000010,0,25.0,67.0,0.261,2,55.9,0.193,0.105,0.027,0.911,-0.234,0.18,-0.27,-1.135,0.224,0.558,1.908,7.4,0,0.033
SHOP000011,1,20.0,201.0,0.339,0,82.3,0.294,0.09,0.033,0.961,-0.154,0.289,0.177,1.469,0.178,0.397,1.583,5.3,1,0.032
SHOP000012,0,6.0,121.0,0.375,3,78.9,0.315,0.015,0.038,0.849,0.004,0.223,-0.049,-1.112,0.2,0.545,2.494,3.5,0,0.06
SHOP000013,1,16.0,253.0,0.539,0,97.1,0.081,0.146,0.04,0.969,-0.287,0.318,0.023,-1.19,0.228,0.452,1.366,5.9,2,0.022
SHOP000014,0,33.0,45.0,0.468,0,93.3,0.333,0.121,0.05,0.815,-0.303,0.323,-0.101,-0.718,0.134,0.495,2.129,3.9,3,0.047
SHOP000015,0,8.0,148.0,0.374,1,50.1,0.169,0.03,0.032,0.937,0.159,0.262,-0.025,-0.256,0.195,0.434,2.315,5.8,0,0.001
SHOP000016,0,19.0,254.0,0.436,1,137.5,0.326,0.095,0.05,0.938,-0.112,0.215,0.08,-0.009,0.135,0.443,2.313,5.4,0,0.052
SHOP000017,0,14.0,56.0,0.527,0,102.2,0.313,0.059,0.019,0.964,0.244,0.011,0.151,1.072,0.132,0.43,2.329,6.2,2,0.024
SHOP000018,1,15.0,127.0,0.452,2,83.2,0.241,0.096,0.027,0.882,0.031,0.217,-0.172,-1.723,0.113,0.388,2.043,5.6,2,0.036
SHOP000019,1,14.0,110.0,0.295,1,58.9,0.282,0.109,0.019,0.888,0.131,0.217,0.191,-0.26,0.221,0.318,1.802,7.7,1,0.0
SHOP000020,1,20.0,153.0,0.526,1,142.0,0.435,0.121,0.026,0.892,0.577,0.154,0.131,-0.508,0.201,0.421,2.238,2.7,0,0.052
SHOP000021,0,43.0,207.0,0.492,1,182.2,0.443,0.054,0.028,0.935,0.068,0.221,0.074,-0.035,0.111,0.422,1.862,3.0,1,0.022
SHOP000022,0,15.0,269.0,0.215,0,115.7,0.221,0.076,0.036,0.791,-0.212,0.139,-0.407,0.175,0.088,0.258,1.889,3.0,2,0.017
SHOP000023,0,28.0,2.0,0.539,0,55.5,0.199,0.045,0.005,0.804,-0.097,0.151,0.051,-0.094,0.115,0.449,2.651,5.0,1,0.026
SHOP000024,0,9.0,161.0,0.345,1,143.0,0.291,0.093,0.018,0.9,0.157,0.183,-0.019,0.702,0.118,0.611,2.24,3.4,0,0.022
SHOP000025,0,24.0,313.0,0.484,1,83.4,0.203,0.106,0.011,0.921,0.404,0.162,0.034,1.299,0.094,0.667,2.494,7.0,0,0.037
SHOP000026,0,22.0,336.0,0.603,0,43.4,0.309,0.062,0.024,0.817,-0.128,0.393,0.158,-0.781,0.148,0.52,3.239,3.6,0,0.043
SHOP000027,0,5.0,245.0,0.24,0,71.3,0.248,0.085,0.044,0.998,0.185,0.248,-0.061,-1.121,0.148,0.317,1.662,4.7,1,0.062
SHOP000028,0,7.0,193.0,0.38,1,137.5,0.216,0.083,0.023,0.958,0.054,0.339,-0.034,1.802,0.144,0.501,2.296,5.6,0,0.055
SHOP000029,1,23.0,30.0,0.386,0,85.0,0.218,0.046,0.002,0.872,0.194,0.09,-0.091,-0.216,0.265,0.441,2.077,4.8,1,0.026
SHOP000030,1,26.0,148.0,0.442,3,184.1,0.304,0.052,0.032,0.94,0.104,0.256,0.144,0.503,0.353,0.582,2.206,8.7,1,0.052
SHOP000031,1,23.0,122.0,0.239,2,157.7,0.399,0.055,0.023,0.854,0.047,0.108,0.124,0.426,0.117,0.71,2.377,1.8,0,0.045
SHOP000032,0,15.0,72.0,0.373,3,52.7,0.315,0.08,0.021,0.893,0.14,0.106,0.24,0.634,0.138,0.183,2.804,3.4,0,0.033
SHOP000033,0,8.0,106.0,0.364,1,86.3,0.3,0.042,0.023,0.932,0.273,0.132,0.002,0.562,0.143,0.468,2.078,4.9,0,0.008
SHOP000034,1,28.0,130.0,0.494,1,81.6,0.34,0.123,0.046,0.841,-0.102,0.115,0.045,2.047,0.189,0.429,1.275,6.0,1,0.054
SHOP000035,0,7.0,112.0,0.74,2,47.7,0.169,0.129,0.038,0.831,-0.311,0.192,-0.071,-1.316,0.213,0.532,0.901,6.2,1,0.023
SHOP000036,0,30.0,92.0,0.419,0,52.7,0.167,0.08,0.051,0.901,-0.08,0.057,0.106,1.715,0.107,0.265,2.911,3.5,1,0.016
SHOP000037,0,31.0,17.0,0.419,1,80.0,0.336,0.048,0.011,0.957,0.266,0.208,-0.028,-0.051,0.116,0.488,1.854,3.5,1,0.02
SHOP000038,1,19.0,79.0,0.425,1,60.1,0.279,0.028,0.034,0.975,-0.024,0.122,0.049,-0.021,0.016,0.291,2.381,4.1,0,0.053
SHOP000039,0,19.0,110.0,0.354,2,136.0,0.244,0.107,0.023,0.826,-0.101,0.091,-0.21,-0.568,0.239,0.169,1.273,4.2,1,0.063
